lat,lon,p_reunion_timed
-39.0,84.5,0.000012
-39.0,85.0,0.000012
-39.0,85.5,0.000012
-39.0,86.0,0.000012
-39.0,86.5,0.000012
-39.0,87.0,0.000022
-39.0,87.5,0.000022
-39.0,88.0,0.000062
-39.0,88.5,0.002792
-39.0,89.0,0.002687
-39.0,89.5,0.002855
-39.0,90.0,0.002842
-39.0,90.5,0.005323
-39.0,91.0,0.006102
-39.0,91.5,0.005285
-39.0,92.0,0.005177
-39.0,92.5,0.005492
-39.0,93.0,0.004640
-39.0,93.5,0.004404
-39.0,94.0,0.004352
-39.0,94.5,0.004498
-39.0,95.0,0.004059
-39.0,95.5,0.004233
-39.0,96.0,0.005503
-39.0,96.5,0.005457
-39.0,97.0,0.005232
-39.0,97.5,0.005308
-39.0,98.0,0.005042
-39.0,98.5,0.007951
-39.0,99.0,0.007945
-39.0,99.5,0.007381
-39.0,100.0,0.007452
-39.0,100.5,0.007539
-39.0,101.0,0.006028
-39.0,101.5,0.002346
-39.0,102.0,0.002346
-39.0,102.5,0.002346
-39.0,103.0,0.002346
-39.0,103.5,0.002346
-38.5,82.0,0.000012
-38.5,82.5,0.000012
-38.5,83.0,0.000012
-38.5,83.5,0.000012
-38.5,84.0,0.000012
-38.5,84.5,0.000012
-38.5,85.0,0.000012
-38.5,85.5,0.000012
-38.5,86.0,0.000012
-38.5,86.5,0.000012
-38.5,87.0,0.000022
-38.5,87.5,0.000022
-38.5,88.0,0.000062
-38.5,88.5,0.002792
-38.5,89.0,0.002687
-38.5,89.5,0.002855
-38.5,90.0,0.002842
-38.5,90.5,0.005323
-38.5,91.0,0.006102
-38.5,91.5,0.005285
-38.5,92.0,0.005177
-38.5,92.5,0.005492
-38.5,93.0,0.004640
-38.5,93.5,0.004404
-38.5,94.0,0.004352
-38.5,94.5,0.004498
-38.5,95.0,0.004059
-38.5,95.5,0.004233
-38.5,96.0,0.005503
-38.5,96.5,0.005457
-38.5,97.0,0.005232
-38.5,97.5,0.005308
-38.5,98.0,0.005042
-38.5,98.5,0.007951
-38.5,99.0,0.007945
-38.5,99.5,0.007381
-38.5,100.0,0.007452
-38.5,100.5,0.007539
-38.5,101.0,0.006028
-38.5,101.5,0.002346
-38.5,102.0,0.002346
-38.5,102.5,0.002346
-38.5,103.0,0.002346
-38.5,103.5,0.002346
-38.0,82.0,0.000015
-38.0,82.5,0.000015
-38.0,83.0,0.000015
-38.0,83.5,0.000015
-38.0,84.0,0.000015
-38.0,84.5,0.000015
-38.0,85.0,0.000015
-38.0,85.5,0.000015
-38.0,86.0,0.000015
-38.0,86.5,0.000015
-38.0,87.0,0.000026
-38.0,87.5,0.000026
-38.0,88.0,0.000068
-38.0,88.5,0.003023
-38.0,89.0,0.002909
-38.0,89.5,0.003058
-38.0,90.0,0.003044
-38.0,90.5,0.005356
-38.0,91.0,0.006140
-38.0,91.5,0.005318
-38.0,92.0,0.005209
-38.0,92.5,0.005527
-38.0,93.0,0.004669
-38.0,93.5,0.004431
-38.0,94.0,0.004379
-38.0,94.5,0.004526
-38.0,95.0,0.004084
-38.0,95.5,0.004260
-38.0,96.0,0.005538
-38.0,96.5,0.005491
-38.0,97.0,0.005264
-38.0,97.5,0.005342
-38.0,98.0,0.005073
-38.0,98.5,0.007983
-38.0,99.0,0.007977
-38.0,99.5,0.007411
-38.0,100.0,0.007482
-38.0,100.5,0.007570
-38.0,101.0,0.006052
-38.0,101.5,0.002355
-38.0,102.0,0.002355
-38.0,102.5,0.002355
-38.0,103.0,0.002355
-38.0,103.5,0.002355
-37.5,82.0,0.000054
-37.5,82.5,0.000054
-37.5,83.0,0.000054
-37.5,83.5,0.000054
-37.5,84.0,0.000054
-37.5,84.5,0.000054
-37.5,85.0,0.000054
-37.5,85.5,0.000054
-37.5,86.0,0.000054
-37.5,86.5,0.000054
-37.5,87.0,0.000084
-37.5,87.5,0.000084
-37.5,88.0,0.000218
-37.5,88.5,0.005614
-37.5,89.0,0.004730
-37.5,89.5,0.004228
-37.5,90.0,0.004209
-37.5,90.5,0.006833
-37.5,91.0,0.007832
-37.5,91.5,0.006785
-37.5,92.0,0.006647
-37.5,92.5,0.007051
-37.5,93.0,0.005958
-37.5,93.5,0.005655
-37.5,94.0,0.005589
-37.5,94.5,0.005776
-37.5,95.0,0.005213
-37.5,95.5,0.005436
-37.5,96.0,0.007065
-37.5,96.5,0.007005
-37.5,97.0,0.006717
-37.5,97.5,0.006815
-37.5,98.0,0.006473
-37.5,98.5,0.010134
-37.5,99.0,0.010126
-37.5,99.5,0.009409
-37.5,100.0,0.009500
-37.5,100.5,0.009610
-37.5,101.0,0.007687
-37.5,101.5,0.002994
-37.5,102.0,0.002994
-37.5,102.5,0.002994
-37.5,103.0,0.002994
-37.5,103.5,0.002994
-37.0,82.0,0.003786
-37.0,82.5,0.003786
-37.0,83.0,0.003786
-37.0,83.5,0.003786
-37.0,84.0,0.003786
-37.0,84.5,0.003786
-37.0,85.0,0.003786
-37.0,85.5,0.003786
-37.0,86.0,0.003786
-37.0,86.5,0.003786
-37.0,87.0,0.004524
-37.0,87.5,0.004524
-37.0,88.0,0.006230
-37.0,88.5,0.069283
-37.0,89.0,0.063973
-37.0,89.5,0.043910
-37.0,90.0,0.043138
-37.0,90.5,0.058005
-37.0,91.0,0.060772
-37.0,91.5,0.050904
-37.0,92.0,0.049909
-37.0,92.5,0.053045
-37.0,93.0,0.041099
-37.0,93.5,0.041535
-37.0,94.0,0.041067
-37.0,94.5,0.038371
-37.0,95.0,0.034927
-37.0,95.5,0.036376
-37.0,96.0,0.042880
-37.0,96.5,0.042532
-37.0,97.0,0.040841
-37.0,97.5,0.041417
-37.0,98.0,0.034078
-37.0,98.5,0.038332
-37.0,99.0,0.038303
-37.0,99.5,0.035660
-37.0,100.0,0.035996
-37.0,100.5,0.035782
-37.0,101.0,0.022538
-37.0,101.5,0.008860
-37.0,102.0,0.008860
-37.0,102.5,0.008860
-37.0,103.0,0.008860
-37.0,103.5,0.008860
-36.5,82.0,0.002824
-36.5,82.5,0.002824
-36.5,83.0,0.002824
-36.5,83.5,0.002824
-36.5,84.0,0.002824
-36.5,84.5,0.002824
-36.5,85.0,0.002824
-36.5,85.5,0.002824
-36.5,86.0,0.002824
-36.5,86.5,0.002824
-36.5,87.0,0.003375
-36.5,87.5,0.003375
-36.5,88.0,0.004126
-36.5,88.5,0.035590
-36.5,89.0,0.034743
-36.5,89.5,0.054148
-36.5,90.0,0.046904
-36.5,90.5,0.062034
-36.5,91.0,0.065025
-36.5,91.5,0.054652
-36.5,92.0,0.053278
-36.5,92.5,0.056574
-36.5,93.0,0.043870
-36.5,93.5,0.044489
-36.5,94.0,0.043989
